lemma,count
interno,9
instaurado,9
evidenciar,9
requerimiento,9
etapa,9
supuestamente,9
evento,9
calificación,9
deprecado,9
relevancia,9
mental,9
disculpa,9
ocurrencia,9
decretar,9
ajustar,9
exigido,9
identificación,9
unp,9
eje,9
identificar,9
copia,9
padecer,9
odio,9
diligencia,9
regulación,9
esencial,9
entregar,9
nacionalidad,9
diverso,9
migrant,9
defensora,9
promover,9
integrar,9
expedir,9
advertencia,9
normativa,9
resultado,9
respeto,9
digno,9
reparto,9
equipo,9
alto,9
forzado,9
candidato,9
oralidad,9
inmueble,9
aplicar él,9
acerca,9
finalidad,9
contrario,9
electrónico,9
oportuno,9
natural,9
ambiental,9
virtual,8
veracidad,8
publicado,8
efectuar,8
solidario,8
reintegro,8
compañero,8
suministro,8
ocurrido,8
nota,8
notificar,8
originar,8
continuar,8
mantener,8
defensoría,8
individual,8
denunciar,8
principal,8
manejo,8
profesional,8
razonable,8
restablecimiento,8
difusión,8
carcelario,8
ruv,8
fundado,8
fútbol,8
generado,8
examen,8
sangre,8
presidente,8
reiterado,8
vulnerabilidad,8
permanente,8
instaurar,8
senado,8
título,8
culto,8
desplazamiento,8
sector,8
movimiento,8
reunión,8
resolutivo,8
departamental,8
estimar,8
instrumento,8
mes,8
requerido,8
básico,8
presuntamente,8
inpec,8
imputar,8
consentimiento,8
visita,8
cultural,8
vivir,8
informe,8
dominio,8
tutelar,8
hombre,8
evitar,8
respetar,8
sesenta,8
utilizar,8
dinero,8
noticia,8
reglamento,8
herramienta,8
modelo,8
integrante,8
avianca,8
censurado,8
historia,8
aprobación,8
adecuado,8
capacitación,8
ingreso,8
negativo,8
vicio,8
oficial,8
amparado,8
youtube,8
relevante,8
causar,8
despachos,8
implementar,8
estatuto,8
instalación,8
despido,8
pública,8
estatutaria,8
operar,8
sobreviniente,8
representado,8
definir,7
registro,7
inclusión,7
indebido,7
propietario,7
fortalecer,7
funcional,7
distrital,7
evaluación,7
paciente,7
cédula,7
ubicado,7
centro,7
raíz,7
prestar,7
revocar,7
estructural,7
expulsión,7
practicar,7
cometer,7
posterior,7
director,7
modificación,7
condena,7
acudir,7
excepcional,7
democrático,7
contradicción,7
clínico,7
recursos,7
judicatura,7
vital,7
adoptir,7
establecimiento,7
expedición,7
directriz,7
trato,7
diferencia,7
margen,7
tramite,7
traslado,7
investigar,7
alegada,7
intervención,7
orientación,7
incidente,7
desarrollado,7
pretendido,7
defensor,7
país,7
vigilancia,7
persecución,7
controvertir,7
excluir,7
condicionada,7
modificar,7
conexidad,7
organizado,7
pronunciar,7
demá,7
imputado,7
magistrado,7
estrategia,7
celular,7
cese,7
invitar,7
crítica,7
agresión,7
cámara,7
ilegal,7
unión,7
consorcio,7
diferencial,7
difamatorio,7
sistemático,7
entrar,7
acusación,7
futuro,7
entrevista,7
confianza,7
presidencia,7
exponer,7
eficaz,7
retirar,7
transgénero,7
liberalismo,7
cuestionada,7
gasto,7
asistencia,7
ciudadanía,7
cesar,7
estabilidad,7
públicamente,7
prostitución,7
sufrir,7
eci,7
comisaría,7
pérdida,7
propiedad,7
problemática,7
conjunto,7
preventivo,7
hogar,7
equidad,7
renta,7
tensión,7
feminista,7
solicitado,7
agente,7
migratorio,7
ilícito,6
coordinación,6
particularmente,6
encargado,6
delictivo,6
diputado,6
cobertura,6
adulto,6
superación,6
administrativa,6
convocatoria,6
diagnóstico,6
planteado,6
implementación,6
voluntario,6
iv,6
basar,6
actualmente,6
personería,6
revisado,6
mayo,6
ordenado,6
sentencias,6
comprometer,6
número,6
escrito,6
foto,6
preliminar,6
judicialización,6
esfera,6
indemnización,6
estigmatización,6
acompañante,6
motivación,6
trasgredeír,6
defender,6
inicialmente,6
justificar,6
estético,6
ponderación,6
asociado,6
temporal,6
jurisdiccional,6
normatividad,6
exequibles,6
ingresar,6
ruta,6
flagrancia,6
pagar,6
exhorto,6
club,6
citar,6
abstener él,6
cirugía,6
adopción,6
tratar él,6
sentimental,6
noviembre,6
infracción,6
matrícula,6
exigir,6
asamblea,6
preciso,6
dirimir,6
cuarto,6
cuidado,6
agencia,6
zona,6
habitar,6
remisión,6
local,6
haber él,6
verificación,6
especializado,6
conformar,6
inexequible,6
guajira,6
sensible,6
data,6
cobro,6
icbf,6
cometido,6
presentación,6
procedente,6
informativo,6
titular,6
cautelar,6
aéreo,6
procedimental,6
objeción,6
contener,6
cambiar,6
suprema,6
sometido,6
filtración,6
emplear,6
abierto,6
diversidad,6
cpaca,6
erradicar,6
limitar,6
profesión,6
doble,6
proporcionalidad,6
catorce,6
secretaría,6
ejecución,6
lograr,6
santander,6
transporte,6
rectificar,6
acusar,6
antijurídico,6
operación,6
promotora,6
ciudadana,6
periodo,6
erróneo,6
realidad,6
eventual,6
integración,6
americana,6
beneficios,6
abogado,6
aula,6
llegar,6
tiempo,6
aportado,5
instituto,5
legislador,5
puesto,5
trasgresora,5
volver,5
vínculo,5
democracia,5
jornada,5
autónomo,5
aseguradora,5
conllevar,5
calle,5
alcaldía,5
póliza,5
trino,5
censurar,5
retiro,5
contractual,5
estatutario,5
pese,5
extremo,5
residente,5
seguro,5
fosyga,5
deporte,5
coomeva,5
indeterminado,5
gubernamental,5
vih,5
declarado,5
vulnerable,5
arbitrario,5
vigencia,5
resuelto,5
invocar,5
motivar,5
mayoritario,5
bloqueo,5
devolución,5
militancia,5
reservado,5
popular,5
empleado,5
ocasionado,5
barrera,5
resaltar,5
julio,5
reducción,5
jurídica,5
amparada,5
pareja,5
voz,5
enfrentar,5
probado,5
fundamentar,5
ambiente,5
evaluar,5
plaza,5
trabajar,5
independencia,5
turbo,5
escuela,5
asistir,5
frase,5
abusivo,5
cancelar,5
experto,5
permanecer,5
solicitante,5
carecer,5
inexequibles,5
bullying,5
plazo,5
decretado,5
declarar él,5
profesora,5
enmarcar,5
representar,5
rechazo,5
reiteración,5
agravado,5
estándar,5
constitucionalmente,5
diagnosticar,5
llamado,5
aparente,5
jefe,5
procesado,5
explicar,5
potestad,5
veraz,5
flip,5
diseñar,5
grabación,5
dispositivo,5
querer,5
promoción,5
autor,5
justificación,5
junta,5
aislamiento,5
producir,5
casa,5
descrito,5
vinculación,5
testigo,5
recordar,5
señor,5
parecer,5
admisorio,5
surtida,5
contradictorio,5
irregular,5
finalizar,5
transitorio,5
oficioso,5
agrupación,5
solución,5
injustificado,5
comercial,5
negar él,5
comunicado,5
pasiva,5
irregularidad,5
directamente,5
característica,5
residencia,5
reforma,5
reclamo,5
recomendación,5
congresista,5
agresor,5
compilada,5
perpetuo,5
contemplado,5
entender,5
contralor,5
donación,5
sexo,5
comportar,5
comentario,5
firmante,5
específicamente,5
estructura,5
conciliación,5
oficina,5
automático,5
conciencia,5
validez,5
conservar,5
responder,5
ciberacoso,5
ibídem,5
masivo,5
pacto,5
civiles,5
ocupar,5
extraordinario,5
selección,5
perder,5
consagrado,5
ponderado,5
hostigamiento,5
ataque,4
retención,4
implemente,4
pro,4
oficio,4
conformación,4
orientado,4
fiscal,4
pluralismo,4
webcam,4
millón,4
correctivo,4
trasgresión,4
activar,4
emisión,4
expreso,4
literal,4
histórico,4
cartagena,4
metodología,4
domiciliario,4
indefensión,4
predio,4
adicional,4
protesta,4
revisar,4
sostener,4
agotamiento,4
similar,4
índole,4
aerolínea,4
amplio,4
conducir,4
tarifa,4
piar,4
coincidir,4
ende,4
embarazo,4
lenguaje,4
apelación,4
fuente,4
instagram,4
desempeño,4
trece,4
multigrado,4
